Metadata_Experiment,drug,Metadata_Plate,Metadata_Well,assay_type,food_conc_OD,food_type,plate,row,col,bleach,strain,well_censor,well_censor_reason,notes,concentration_um,diluent,class
ben1,Albendazole,p001,G06,48h,10,15hHB101,1,G,6,1,ECA3257,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,G07,48h,10,15hHB101,1,G,7,1,ECA3260,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,G08,48h,10,15hHB101,1,G,8,1,ECA3581,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,G09,48h,10,15hHB101,1,G,9,1,ECA3726,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,H01,48h,10,15hHB101,1,H,1,1,N2,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,H02,48h,10,15hHB101,1,H,2,1,ECA882,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,H03,48h,10,15hHB101,1,H,3,1,ECA3693,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,H04,48h,10,15hHB101,1,H,4,1,ECA3694,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,H05,48h,10,15hHB101,1,H,5,1,VC364,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,H06,48h,10,15hHB101,1,H,6,1,ECA3257,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,H07,48h,10,15hHB101,1,H,7,1,ECA3260,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,H08,48h,10,15hHB101,1,H,8,1,ECA3581,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,H09,48h,10,15hHB101,1,H,9,1,ECA3726,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,A01,48h,10,15hHB101,2,A,1,1,N2,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,A02,48h,10,15hHB101,2,A,2,1,ECA882,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,A03,48h,10,15hHB101,2,A,3,1,ECA3595,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,A04,48h,10,15hHB101,2,A,4,1,ECA3600,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,A05,48h,10,15hHB101,2,A,5,1,ECA3585,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,A06,48h,10,15hHB101,2,A,6,1,ECA3628,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,A07,48h,10,15hHB101,2,A,7,1,ECA3275,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,A08,48h,10,15hHB101,2,A,8,1,ECA3584,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,A09,48h,10,15hHB101,2,A,9,1,ECA3582,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,A10,48h,10,15hHB101,2,A,10,1,ECA3583,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,B01,48h,10,15hHB101,2,B,1,1,N2,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,B02,48h,10,15hHB101,2,B,2,1,ECA882,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,B03,48h,10,15hHB101,2,B,3,1,ECA3595,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,B04,48h,10,15hHB101,2,B,4,1,ECA3600,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,B05,48h,10,15hHB101,2,B,5,1,ECA3585,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,B06,48h,10,15hHB101,2,B,6,1,ECA3628,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,B07,48h,10,15hHB101,2,B,7,1,ECA3275,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,B08,48h,10,15hHB101,2,B,8,1,ECA3584,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,B09,48h,10,15hHB101,2,B,9,1,ECA3582,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,B10,48h,10,15hHB101,2,B,10,1,ECA3583,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,C01,48h,10,15hHB101,2,C,1,1,N2,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,C02,48h,10,15hHB101,2,C,2,1,ECA882,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,C03,48h,10,15hHB101,2,C,3,1,ECA3595,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,C04,48h,10,15hHB101,2,C,4,1,ECA3600,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,C05,48h,10,15hHB101,2,C,5,1,ECA3585,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,C06,48h,10,15hHB101,2,C,6,1,ECA3628,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,C07,48h,10,15hHB101,2,C,7,1,ECA3275,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,C08,48h,10,15hHB101,2,C,8,1,ECA3584,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,C09,48h,10,15hHB101,2,C,9,1,ECA3582,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,C10,48h,10,15hHB101,2,C,10,1,ECA3583,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,D01,48h,10,15hHB101,2,D,1,1,N2,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,D02,48h,10,15hHB101,2,D,2,1,ECA882,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,D03,48h,10,15hHB101,2,D,3,1,ECA3595,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,D04,48h,10,15hHB101,2,D,4,1,ECA3600,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,D05,48h,10,15hHB101,2,D,5,1,ECA3585,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,D06,48h,10,15hHB101,2,D,6,1,ECA3628,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,D07,48h,10,15hHB101,2,D,7,1,ECA3275,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,D08,48h,10,15hHB101,2,D,8,1,ECA3584,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,D09,48h,10,15hHB101,2,D,9,1,ECA3582,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,D10,48h,10,15hHB101,2,D,10,1,ECA3583,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,E01,48h,10,15hHB101,2,E,1,1,N2,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,E02,48h,10,15hHB101,2,E,2,1,ECA882,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,E03,48h,10,15hHB101,2,E,3,1,ECA3595,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,E04,48h,10,15hHB101,2,E,4,1,ECA3600,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,E05,48h,10,15hHB101,2,E,5,1,ECA3585,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,E06,48h,10,15hHB101,2,E,6,1,ECA3628,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,E07,48h,10,15hHB101,2,E,7,1,ECA3275,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,E08,48h,10,15hHB101,2,E,8,1,ECA3584,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,E09,48h,10,15hHB101,2,E,9,1,ECA3582,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,E10,48h,10,15hHB101,2,E,10,1,ECA3583,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,F01,48h,10,15hHB101,2,F,1,1,N2,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,F02,48h,10,15hHB101,2,F,2,1,ECA882,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,F03,48h,10,15hHB101,2,F,3,1,ECA3595,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,F04,48h,10,15hHB101,2,F,4,1,ECA3600,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,F05,48h,10,15hHB101,2,F,5,1,ECA3585,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,F06,48h,10,15hHB101,2,F,6,1,ECA3628,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,F07,48h,10,15hHB101,2,F,7,1,ECA3275,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,F08,48h,10,15hHB101,2,F,8,1,ECA3584,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,F09,48h,10,15hHB101,2,F,9,1,ECA3582,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,F10,48h,10,15hHB101,2,F,10,1,ECA3583,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,G01,48h,10,15hHB101,2,G,1,1,N2,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,G02,48h,10,15hHB101,2,G,2,1,ECA882,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,G03,48h,10,15hHB101,2,G,3,1,ECA3595,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,G04,48h,10,15hHB101,2,G,4,1,ECA3600,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,G05,48h,10,15hHB101,2,G,5,1,ECA3585,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,G06,48h,10,15hHB101,2,G,6,1,ECA3628,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,G07,48h,10,15hHB101,2,G,7,1,ECA3275,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,G08,48h,10,15hHB101,2,G,8,1,ECA3584,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,G09,48h,10,15hHB101,2,G,9,1,ECA3582,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,G10,48h,10,15hHB101,2,G,10,1,ECA3583,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,H01,48h,10,15hHB101,2,H,1,1,N2,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,H02,48h,10,15hHB101,2,H,2,1,ECA882,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,H03,48h,10,15hHB101,2,H,3,1,ECA3595,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,H04,48h,10,15hHB101,2,H,4,1,ECA3600,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,H05,48h,10,15hHB101,2,H,5,1,ECA3585,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,H06,48h,10,15hHB101,2,H,6,1,ECA3628,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,H07,48h,10,15hHB101,2,H,7,1,ECA3275,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,H08,48h,10,15hHB101,2,H,8,1,ECA3584,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,H09,48h,10,15hHB101,2,H,9,1,ECA3582,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p002,H10,48h,10,15hHB101,2,H,10,1,ECA3583,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,A01,48h,10,15hHB101,3,A,1,1,N2,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,A02,48h,10,15hHB101,3,A,2,1,ECA882,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,A03,48h,10,15hHB101,3,A,3,1,ECA3693,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,A04,48h,10,15hHB101,3,A,4,1,ECA3694,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,A05,48h,10,15hHB101,3,A,5,1,VC364,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,A06,48h,10,15hHB101,3,A,6,1,ECA3257,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,A07,48h,10,15hHB101,3,A,7,1,ECA3260,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,A08,48h,10,15hHB101,3,A,8,1,ECA3581,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,A09,48h,10,15hHB101,3,A,9,1,ECA3726,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,B01,48h,10,15hHB101,3,B,1,1,N2,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,B02,48h,10,15hHB101,3,B,2,1,ECA882,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,B03,48h,10,15hHB101,3,B,3,1,ECA3693,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,B04,48h,10,15hHB101,3,B,4,1,ECA3694,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,B05,48h,10,15hHB101,3,B,5,1,VC364,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,B06,48h,10,15hHB101,3,B,6,1,ECA3257,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,B07,48h,10,15hHB101,3,B,7,1,ECA3260,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,B08,48h,10,15hHB101,3,B,8,1,ECA3581,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,B09,48h,10,15hHB101,3,B,9,1,ECA3726,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,C01,48h,10,15hHB101,3,C,1,1,N2,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,C02,48h,10,15hHB101,3,C,2,1,ECA882,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,C03,48h,10,15hHB101,3,C,3,1,ECA3693,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,C04,48h,10,15hHB101,3,C,4,1,ECA3694,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,C05,48h,10,15hHB101,3,C,5,1,VC364,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,C06,48h,10,15hHB101,3,C,6,1,ECA3257,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,C07,48h,10,15hHB101,3,C,7,1,ECA3260,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,C08,48h,10,15hHB101,3,C,8,1,ECA3581,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,C09,48h,10,15hHB101,3,C,9,1,ECA3726,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,D01,48h,10,15hHB101,3,D,1,1,N2,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,D02,48h,10,15hHB101,3,D,2,1,ECA882,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,D03,48h,10,15hHB101,3,D,3,1,ECA3693,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,D04,48h,10,15hHB101,3,D,4,1,ECA3694,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,D05,48h,10,15hHB101,3,D,5,1,VC364,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,D06,48h,10,15hHB101,3,D,6,1,ECA3257,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,D07,48h,10,15hHB101,3,D,7,1,ECA3260,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,D08,48h,10,15hHB101,3,D,8,1,ECA3581,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,D09,48h,10,15hHB101,3,D,9,1,ECA3726,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,E01,48h,10,15hHB101,3,E,1,1,N2,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,E02,48h,10,15hHB101,3,E,2,1,ECA882,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,E03,48h,10,15hHB101,3,E,3,1,ECA3693,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,E04,48h,10,15hHB101,3,E,4,1,ECA3694,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,E05,48h,10,15hHB101,3,E,5,1,VC364,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,E06,48h,10,15hHB101,3,E,6,1,ECA3257,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,E07,48h,10,15hHB101,3,E,7,1,ECA3260,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,E08,48h,10,15hHB101,3,E,8,1,ECA3581,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,E09,48h,10,15hHB101,3,E,9,1,ECA3726,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,F01,48h,10,15hHB101,3,F,1,1,N2,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,F02,48h,10,15hHB101,3,F,2,1,ECA882,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,F03,48h,10,15hHB101,3,F,3,1,ECA3693,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,F04,48h,10,15hHB101,3,F,4,1,ECA3694,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,F05,48h,10,15hHB101,3,F,5,1,VC364,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,F06,48h,10,15hHB101,3,F,6,1,ECA3257,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,F07,48h,10,15hHB101,3,F,7,1,ECA3260,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,F08,48h,10,15hHB101,3,F,8,1,ECA3581,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,F09,48h,10,15hHB101,3,F,9,1,ECA3726,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,G01,48h,10,15hHB101,3,G,1,1,N2,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,G02,48h,10,15hHB101,3,G,2,1,ECA882,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,G03,48h,10,15hHB101,3,G,3,1,ECA3693,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,G04,48h,10,15hHB101,3,G,4,1,ECA3694,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,G05,48h,10,15hHB101,3,G,5,1,VC364,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,G06,48h,10,15hHB101,3,G,6,1,ECA3257,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,G07,48h,10,15hHB101,3,G,7,1,ECA3260,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p003,G08,48h,10,15hHB101,3,G,8,1,ECA3581,NA,NA,NA,30,DMSO,Anthelmintic
