Metadata_Experiment,drug,Metadata_Plate,Metadata_Well,assay_type,food_conc_OD,food_type,plate,row,col,bleach,strain,well_censor,well_censor_reason,notes,concentration_um,diluent,class
ben1,Albendazole,p001,A01,48h,10,15hHB101,1,A,1,1,N2,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,A02,48h,10,15hHB101,1,A,2,1,ECA882,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,A03,48h,10,15hHB101,1,A,3,1,ECA3693,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,A04,48h,10,15hHB101,1,A,4,1,ECA3694,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,A05,48h,10,15hHB101,1,A,5,1,VC364,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,A06,48h,10,15hHB101,1,A,6,1,ECA3257,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,A07,48h,10,15hHB101,1,A,7,1,ECA3260,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,A08,48h,10,15hHB101,1,A,8,1,ECA3581,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,A09,48h,10,15hHB101,1,A,9,1,ECA3726,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,B01,48h,10,15hHB101,1,B,1,1,N2,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,B02,48h,10,15hHB101,1,B,2,1,ECA882,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,B03,48h,10,15hHB101,1,B,3,1,ECA3693,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,B04,48h,10,15hHB101,1,B,4,1,ECA3694,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,B05,48h,10,15hHB101,1,B,5,1,VC364,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,B06,48h,10,15hHB101,1,B,6,1,ECA3257,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,B07,48h,10,15hHB101,1,B,7,1,ECA3260,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,B08,48h,10,15hHB101,1,B,8,1,ECA3581,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,B09,48h,10,15hHB101,1,B,9,1,ECA3726,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,C01,48h,10,15hHB101,1,C,1,1,N2,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,C02,48h,10,15hHB101,1,C,2,1,ECA882,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,C03,48h,10,15hHB101,1,C,3,1,ECA3693,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,C04,48h,10,15hHB101,1,C,4,1,ECA3694,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,C05,48h,10,15hHB101,1,C,5,1,VC364,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,C06,48h,10,15hHB101,1,C,6,1,ECA3257,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,C07,48h,10,15hHB101,1,C,7,1,ECA3260,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,C08,48h,10,15hHB101,1,C,8,1,ECA3581,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,C09,48h,10,15hHB101,1,C,9,1,ECA3726,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,D01,48h,10,15hHB101,1,D,1,1,N2,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,D02,48h,10,15hHB101,1,D,2,1,ECA882,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,D03,48h,10,15hHB101,1,D,3,1,ECA3693,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,D04,48h,10,15hHB101,1,D,4,1,ECA3694,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,D05,48h,10,15hHB101,1,D,5,1,VC364,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,D06,48h,10,15hHB101,1,D,6,1,ECA3257,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,D07,48h,10,15hHB101,1,D,7,1,ECA3260,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,D08,48h,10,15hHB101,1,D,8,1,ECA3581,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,D09,48h,10,15hHB101,1,D,9,1,ECA3726,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,E01,48h,10,15hHB101,1,E,1,1,N2,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,E02,48h,10,15hHB101,1,E,2,1,ECA882,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,E03,48h,10,15hHB101,1,E,3,1,ECA3693,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,E04,48h,10,15hHB101,1,E,4,1,ECA3694,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,E05,48h,10,15hHB101,1,E,5,1,VC364,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,E06,48h,10,15hHB101,1,E,6,1,ECA3257,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,E07,48h,10,15hHB101,1,E,7,1,ECA3260,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,E08,48h,10,15hHB101,1,E,8,1,ECA3581,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,E09,48h,10,15hHB101,1,E,9,1,ECA3726,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,F01,48h,10,15hHB101,1,F,1,1,N2,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,F02,48h,10,15hHB101,1,F,2,1,ECA882,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,F03,48h,10,15hHB101,1,F,3,1,ECA3693,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,F04,48h,10,15hHB101,1,F,4,1,ECA3694,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,F05,48h,10,15hHB101,1,F,5,1,VC364,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,F06,48h,10,15hHB101,1,F,6,1,ECA3257,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,F07,48h,10,15hHB101,1,F,7,1,ECA3260,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,F08,48h,10,15hHB101,1,F,8,1,ECA3581,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,F09,48h,10,15hHB101,1,F,9,1,ECA3726,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,G01,48h,10,15hHB101,1,G,1,1,N2,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,G02,48h,10,15hHB101,1,G,2,1,ECA882,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,G03,48h,10,15hHB101,1,G,3,1,ECA3693,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,G04,48h,10,15hHB101,1,G,4,1,ECA3694,NA,NA,NA,30,DMSO,Anthelmintic
ben1,Albendazole,p001,G05,48h,10,15hHB101,1,G,5,1,VC364,NA,NA,NA,30,DMSO,Anthelmintic
