"","well.id","flag_id","Metadata_Experiment","Metadata_Plate","Metadata_Well","Metadata_Date","Metadata_Group","Metadata_Magnification","FileName_RawBF","wo_po_area_frac","drug","assay_type","food_conc_OD","food_type","plate","row","col","bleach","strain","well_censor","well_censor_reason","notes","concentration_um","diluent","class","i.dir","w.lab","gbm2x_class","mean_wormlength_um","min_wormlength_um","q10_wormlength_um","q25_wormlength_um","median_wormlength_um","sd_wormlength_um","q75_wormlength_um","q90_wormlength_um","max_wormlength_um","cv_wormlength_um","n","assay_bleach","median_wormlength_um_reg","assay_bleach_coeff","assay_bleach_se","assay_bleach_tvalue","assay_bleach_pvalue","control_median_wormlength_um_reg","median_wormlength_um_reg_delta"
"11","ben1_p001_B02","ben1_1_ECA882_Albendazole","ben1","p001","B02",20230928,"p001_B02","m2x","20230928-ben1-p001-m2x_B02.TIF",1.12798703928716,"Albendazole","48h",10,"15hHB101",1,"B",2,1,"ECA882",NA,NA,NA,50,"DMSO","Anthelmintic","/projects/b1059/projects/Skyler/cellprofiler-nf/projects/20230803_TCben1/Analysis-20230810/processed_images/","Albendazole_ECA882","worm",722.38208785549,614.709230497858,639.356942163981,652.210404198993,727.148675470095,62.9189875813879,762.342977820901,791.943970862082,821.174381246104,0.0870993185450835,17,"ben1_1",37.3264058981537,689.822269571941,3.66365260879325,188.288122055098,0,72.0155202970548,-34.6891143989011
"12","ben1_p001_B03","ben1_1_ECA3693_Albendazole","ben1","p001","B03",20230928,"p001_B03","m2x","20230928-ben1-p001-m2x_B03.TIF",1.10333333333333,"Albendazole","48h",10,"15hHB101",1,"B",3,1,"ECA3693",NA,NA,NA,50,"DMSO","Anthelmintic","/projects/b1059/projects/Skyler/cellprofiler-nf/projects/20230803_TCben1/Analysis-20230810/processed_images/","Albendazole_ECA3693","worm",725.222548352813,682.481492883004,705.097940804196,719.690762949591,727.080620094252,21.1069323170987,735.834526505892,747.634562287673,750.228101298534,0.029104076210866,8,"ben1_1",37.2583505223103,689.822269571941,3.66365260879325,188.288122055098,0,68.7688513259418,-31.5105008036315
"13","ben1_p001_B04","ben1_1_ECA3694_Albendazole","ben1","p001","B04",20230928,"p001_B04","m2x","20230928-ben1-p001-m2x_B04.TIF",0.787012987012987,"Albendazole","48h",10,"15hHB101",1,"B",4,1,"ECA3694",NA,NA,NA,50,"DMSO","Anthelmintic","/projects/b1059/projects/Skyler/cellprofiler-nf/projects/20230803_TCben1/Analysis-20230810/processed_images/","Albendazole_ECA3694","non-worm",686.29604434908,600.133110152298,619.266415030806,657.322811793692,694.23509781918,52.3668828765872,724.089549648506,744.080574497873,746.091918600022,0.0763036350096623,8,"ben1_1",4.41282824723807,689.822269571941,3.66365260879325,188.288122055098,0,56.0983034711669,-51.6854752239288
"14","ben1_p001_B05","ben1_1_VC364_Albendazole","ben1","p001","B05",20230928,"p001_B05","m2x","20230928-ben1-p001-m2x_B05.TIF",0.745704467353952,"Albendazole","48h",10,"15hHB101",1,"B",5,1,"VC364",NA,NA,NA,50,"DMSO","Anthelmintic","/projects/b1059/projects/Skyler/cellprofiler-nf/projects/20230803_TCben1/Analysis-20230810/processed_images/","Albendazole_VC364","worm",554.236405757259,321.926617994754,375.075396885262,419.444478764052,566.927755729802,167.958582499052,696.31522397148,738.018978165061,741.493855729802,0.303045019696186,9,"ben1_1",-122.89451384214,689.822269571941,3.66365260879325,188.288122055098,0,-3.23071197146839,-119.663801870671
"15","ben1_p001_B06","ben1_1_ECA3257_Albendazole","ben1","p001","B06",20230928,"p001_B06","m2x","20230928-ben1-p001-m2x_B06.TIF",0.745314222712238,"Albendazole","48h",10,"15hHB101",1,"B",6,1,"ECA3257",NA,NA,NA,50,"DMSO","Anthelmintic","/projects/b1059/projects/Skyler/cellprofiler-nf/projects/20230803_TCben1/Analysis-20230810/processed_images/","Albendazole_ECA3257","worm",491.072392321781,390.860241942812,428.121636355728,466.933545075809,498.578198642096,47.1104070008069,526.161978728898,538.685382403027,551.280243740003,0.0959337314363566,14,"ben1_1",-191.244070929846,689.822269571941,3.66365260879325,188.288122055098,0,85.8697869912059,-277.113857921052
"16","ben1_p001_B07","ben1_1_ECA3260_Albendazole","ben1","p001","B07",20230928,"p001_B07","m2x","20230928-ben1-p001-m2x_B07.TIF",0.728763913298184,"Albendazole","48h",10,"15hHB101",1,"B",7,1,"ECA3260",NA,NA,NA,50,"DMSO","Anthelmintic","/projects/b1059/projects/Skyler/cellprofiler-nf/projects/20230803_TCben1/Analysis-20230810/processed_images/","Albendazole_ECA3260","worm",496.116466410952,452.38476225618,459.847738340353,477.128542827292,490.744664727179,32.6945377196957,513.732005438878,532.435872623296,547.964741360966,0.0659009324085073,7,"ben1_1",-199.077604844763,689.822269571941,3.66365260879325,188.288122055098,0,82.8415946816924,-281.919199526455
"17","ben1_p001_B08","ben1_1_ECA3581_Albendazole","ben1","p001","B08",20230928,"p001_B08","m2x","20230928-ben1-p001-m2x_B08.TIF",1.06970297029703,"Albendazole","48h",10,"15hHB101",1,"B",8,1,"ECA3581",NA,NA,NA,50,"DMSO","Anthelmintic","/projects/b1059/projects/Skyler/cellprofiler-nf/projects/20230803_TCben1/Analysis-20230810/processed_images/","Albendazole_ECA3581","worm",734.932137643863,706.861526992132,713.866845619858,722.084838293736,738.051778151438,16.8639813509843,747.522026334093,750.285972926827,761.958283885626,0.0229463109411012,12,"ben1_1",48.2295085794966,689.822269571941,3.66365260879325,188.288122055098,0,70.7938603514032,-22.5643517719066
"18","ben1_p001_B09","ben1_1_ECA3726_Albendazole","ben1","p001","B09",20230928,"p001_B09","m2x","20230928-ben1-p001-m2x_B09.TIF",0.986241853729182,"Albendazole","48h",10,"15hHB101",1,"B",9,1,"ECA3726",NA,NA,NA,50,"DMSO","Anthelmintic","/projects/b1059/projects/Skyler/cellprofiler-nf/projects/20230803_TCben1/Analysis-20230810/processed_images/","Albendazole_ECA3726","worm",731.709893921627,675.700177932321,707.424686609039,719.237141360967,723.701221620674,28.7942523747303,752.64229346485,764.308465739303,767.649540779121,0.0393520063264505,9,"ben1_1",33.8789520487329,689.822269571941,3.66365260879325,188.288122055098,0,81.2436540932146,-47.3647020444817
"19","ben1_p001_C01","ben1_1_N2_Albendazole","ben1","p001","C01",20230928,"p001_C01","m2x","20230928-ben1-p001-m2x_C01.TIF",1.12492736780941,"Albendazole","48h",10,"15hHB101",1,"C",1,1,"N2",NA,NA,NA,50,"DMSO","Anthelmintic","/projects/b1059/projects/Skyler/cellprofiler-nf/projects/20230803_TCben1/Analysis-20230810/processed_images/","Albendazole_N2","worm",491.943782466598,428.923389257083,452.516000649266,471.020903189534,483.171553593805,35.7623746367342,519.89738851066,535.90890151765,559.455972990325,0.0726960598168805,16,"ben1_1",-206.650715978137,689.822269571941,3.66365260879325,188.288122055098,0,68.7575865548176,-275.408302532955
"20","ben1_p001_C02","ben1_1_ECA882_Albendazole","ben1","p001","C02",20230928,"p001_C02","m2x","20230928-ben1-p001-m2x_C02.TIF",1.02032667876588,"Albendazole","48h",10,"15hHB101",1,"C",2,1,"ECA882",NA,NA,NA,50,"DMSO","Anthelmintic","/projects/b1059/projects/Skyler/cellprofiler-nf/projects/20230803_TCben1/Analysis-20230810/processed_images/","Albendazole_ECA882","worm",773.494953019618,705.97368695793,740.2422970191,758.497491856888,767.781271512689,34.251466417915,796.751969295137,805.672139774606,845.665079096014,0.0442814349133139,14,"ben1_1",77.9590019407471,689.822269571941,3.66365260879325,188.288122055098,0,72.0155202970548,5.94348164369225
